piloto,temporada,constructor,carreras_corridas,promedio_pos_final,podios,abandonos,puntos_totales,es_rookie
LEC,2022,Ferrari,22,3.3157894736842106,11,3,308.0,0
SAI,2022,Ferrari,22,3.5,9,6,246.0,0
HAM,2022,Mercedes,22,5.380952380952381,9,1,240.0,0
RUS,2022,Mercedes,22,4.380952380952381,8,1,275.0,0
MAG,2022,Haas F1 Team,22,13.166666666666666,0,4,25.0,0
BOT,2022,Alfa Romeo,22,10.411764705882353,0,5,49.0,0
OCO,2022,Alpine F1 Team,22,8.2,0,2,92.0,0
TSU,2022,AlphaTauri,22,13.0625,0,6,12.0,0
ALO,2022,Alpine F1 Team,22,8.647058823529411,0,5,81.0,0
ZHO,2022,Alfa Romeo,22,12.882352941176471,0,5,6.0,0
MSC,2022,Haas F1 Team,22,13.631578947368421,0,3,12.0,0
STR,2022,Aston Martin,22,11.45,0,2,18.0,0
ALB,2022,Williams,21,12.764705882352942,0,4,4.0,0
RIC,2022,McLaren,22,11.631578947368421,0,3,37.0,0
NOR,2022,McLaren,22,7.8,1,2,122.0,0
LAT,2022,Williams,22,15.777777777777779,0,4,2.0,0
HUL,2022,Aston Martin,2,14.5,0,0,0.0,0
PER,2022,Red Bull,22,3.95,11,2,305.0,0
VER,2022,Red Bull,22,2.8095238095238093,17,1,454.0,0
GAS,2022,AlphaTauri,22,11.578947368421053,0,3,23.0,0
VET,2022,Aston Martin,20,10.555555555555555,0,2,37.0,0
DEV,2022,Williams,1,9.0,0,0,2.0,0
VER,2023,Red Bull,22,1.2727272727272727,21,0,575.0,0
PER,2023,Red Bull,22,4.5,9,2,285.0,0
ALO,2023,Aston Martin,22,5.6,8,2,206.0,0
SAI,2023,Ferrari,22,6.3,3,2,200.0,0
HAM,2023,Mercedes,22,5.571428571428571,6,1,234.0,0
STR,2023,Aston Martin,22,9.333333333333334,0,4,74.0,0
RUS,2023,Mercedes,22,6.631578947368421,2,3,175.0,0
